historical_hotel,City
Corner-Commercial,ALEXANDRA
Mining Exchange,ALEXANDRA
Belle Vue,ALEXANDRA
Commercial,ALEXANDRA
Mount Pleasant,ALEXANDRA
Alexandra,ALEXANDRA
Asylum Hill,ARARAT
Macs,ARARAT
Bull & Mouth,ARARAT
Newtons New Market,ARARAT
Camp,ARARAT
Freemasons,ARARAT
Manchester,ARARAT
Great Eastern,ARARAT
Newmarket,ARARAT
Green Hills,ARARAT
Manchester Arms,ARARAT
Three Mile Creek,ARARAT
Pumps,ARARAT
Scotts,ARARAT
Ararat,ARARAT
View Point,ARARAT
Three Mile,ARARAT
Union,ARARAT
Albion,ARARAT
Terminus Hotel & R R Rooms,ARARAT
Kangaroo Point,ARARAT
Old Camp,ARARAT
Hopkins,ARARAT
George,ARARAT
Commercial,ARARAT
Arcadia,ARCADIA
Grand Terminus,BAIRNSDALE
Club,BAIRNSDALE
Commercial,BAIRNSDALE
Nelson,BAIRNSDALE
Bridge,BAIRNSDALE
Mitchell,BAIRNSDALE
Paynes,BAIRNSDALE
Albion,BAIRNSDALE
Bairnsdale Club,BAIRNSDALE
Imperial,BAIRNSDALE
Orient,BAIRNSDALE
Bairnsdale Racing Club,BAIRNSDALE
Main,BAIRNSDALE
Freemasons,BALLAN
Commercial,BALLAN
East Ballan,BALLAN
Shannon,BALLAN
Werribee Hunt,BALLAN
Carriers Arms,BALLAN
Ballan Hotel & Store,BALLAN
Macs,BALLAN
Ballan,BALLAN
Great Westerm,BALLAN
Racecourse,BALLAN
Royal Mail,BALLAN
Orwell,BALLAN
Travellers Rest,BALLAN
Yeoman,BALLAN
Hanrahans,BALLAN
Railway,BALLAN
Sims Coffee Palace,BALLAN
Rose & Crown,BALLARAT
Limerick Castle,BALLARAT
Union,BALLARAT
Red Bull,BALLARAT
Dudley Castle,BALLARAT
Eureka,BALLARAT
White Horse,BALLARAT
Cosomopolitan,BALLARAT
Windsor Arms,BALLARAT
Rainbow,BALLARAT
George,BALLARAT
Excelsior,BALLARAT
Britannia,BALLARAT
Bakery Hill,BALLARAT
Soho,BALLARAT
St Andrew,BALLARAT
Copenhagen,BALLARAT
Liverpool Arms,BALLARAT
Consols,BALLARAT
Countess,BALLARAT
Straffordshire Arms,BALLARAT
White Hart,BALLARAT
Elephant & Castle,BALLARAT
Vine,BALLARAT
Carriers Arms,BALLARAT
New Scotch,BALLARAT
Stag & Hound,BALLARAT
Scotchmans Arms,BALLARAT
Clarkes,BALLARAT
Ancient Briton,BALLARAT
Imperial,BALLARAT
Donegans,BALLARAT
Railway,BALLARAT
Grand National,BALLARAT
Port Phillip,BALLARAT
Half-way House,BALLARAT
Post Office,BALLARAT
Prince of Wales,BALLARAT
Fawn,BALLARAT
Northumberland,BALLARAT
Pavilion,BALLARAT
Ship Inn,BALLARAT
Grouts,BALLARAT
Borough Boundary,BALLARAT
Alexandra,BALLARAT
Bute,BALLARAT
Pack Horse,BALLARAT
Washington,BALLARAT
John OGroat,BALLARAT
Limerick,BALLARAT
Greyhound,BALLARAT
Golden Point,BALLARAT
Perseverance,BALLARAT
Burke & Wills,BALLARAT
National,BALLARAT
Angel,BALLARAT
Southern Cross,BALLARAT
Times,BALLARAT
Sir John Franklin,BALLARAT
Hampton Court,BALLARAT
Market,BALLARAT
Shamrock,BALLARAT
Black Horse Inn,BALLARAT
Galatea,BALLARAT
Bird in Hand,BALLARAT
North Star,BALLARAT
Northages,BALLARAT
American,BALLARAT
Cumberland & Durham,BALLARAT
Inkerman,BALLARAT
Pioneer,BALLARAT
Sir William Wallace,BALLARAT
Phoenix Park,BALLARAT
Ballarat,BALLARAT
New York,BALLARAT
Cornish Arms,BALLARAT
Royal Oak,BALLARAT
Town Hall,BALLARAT
Plank Road,BALLARAT
Smiths,BALLARAT
Streets,BALLARAT
Turf Club,BALLARAT
City of Hamburg,BALLARAT
Russell Square,BALLARAT
Old Eglington,BALLARAT
Wards Family,BALLARAT
Rifle Butts,BALLARAT
Haymarket,BALLARAT
Brewers Arms,BALLARAT
Batchs Factory,BALLARAT
Hutchinsons,BALLARAT
Gilberts Motors,BALLARAT
Irwins Shop,BALLARAT
Munros Sports Depot,BALLARAT
Phoenix Foundry,BALLARAT
Royal Navy,BALLARAT
Craigs Store,BALLARAT
Wood Yard,BALLARAT
Johns Social Rooms,BALLARAT
Frenchmans,BALLARAT
Edinburgh Castle,BALLARAT
Mudies Shop,BALLARAT
Andrews Coffee Palace,BALLARAT
Albion Imperial,BALLARAT
Mathers Tailor,BALLARAT
Ludbrooks,BALLARAT
Ritchies Store,BALLARAT
Corby Store,BALLARAT
Empire,BALLARAT
Retallacks Buildings,BALLARAT
Moorsheads,BALLARAT
Berlyns Fish Shop,BALLARAT
Moorhouses,BALLARAT
Barnetts Butcher,BALLARAT
Spargos,BALLARAT
Miners Arms,BALLARAT
