,Hotel_name,City,Hotel_price,Hotel_rating
0,Roses of Daylesford - Rosemary Cottage   Beautiful,DAYLESFORD,235,3.0
1,New Modern luxurious studio appartment 5mins walk to beach shops and cafe's.,CAPE WOOLAMAI,279,5.0
2,"Maple Cottage ""The Studio"" Trentham - $99 mid week Specials 700m CBD",TRENTHAM,172,4.8
3,Bella Loft: luxury studio apartment in the heart of Woodend,WOODEND,270,4.9
4,The Gatehouse - Light filled  cottage  in the leafy suburb of Hawthorn,MELBOURNE,200,4.9
5,Port Melbourne Seaviews Gym Pool & Tennis!,MELBOURNE,200,4.7
6,Lilac Cottage - central but quiet,CITY OF GREATER BENDIGO,133,4.9
7,Big Tiny Altitude Tiny House Experience,SHIRE OF MACEDON RANGES,226,5.0
8,3BR house with pool close to city and beaches!,MELBOURNE,311,4.0
9,Kate's Place Daylesford Bordering The Botanic Gardens,DAYLESFORD,235,4.7
10,Lakeside Dream-Platypus/Lyrebirds/Views/Walks ,MELBOURNE,214,4.9
11,Geelong Manna Gum Tiny House,SURF COAST SHIRE,206,5.0
12,Grand Designs East Melbourne 5x4 Eco House,MELBOURNE,355,5.0
13,A peaceful retreat in the heart of Carlton,MELBOURNE,224,5.0
14,Glenlowren,SHIRE OF YARRA RANGES,379,5.0
15,RACV Goldfields Resort,CRESWICK,242,4.4
16,Castlemaine Gardens Luxury Glamping,CASTLEMAINE,240,3.6
17,BIG4 Melbourne Holiday Park,MELBOURNE,139,4.5
18,Lakes and Craters Holiday Park,CORANGAMITE,160,4.1
19,Sambar Studio Bed & Breakfast,SHIRE OF NILLUMBIK,245,4.8
20,Frog Hollow Eastern Banjo Daylesford,MOUNT FRANKLIN,256,4.8
21,Country Style Art Deco Inspired 2 bedroom house with off street parking,MELBOURNE,234,5.0
22,Blue Cliffs Dusk Spa Villa,MOUNT FRANKLIN,297,3.8
23,Kara's at Bungal..Romantic Getaway .. Sorry unavailable for bookings,SHIRE OF MOORABOOL,320,4.6
24,Lily's Farm Studio,HEPBURN SHIRE,206,4.8
25,Perfect Cosy Retreat Cottage Russki Country Sauna & Spa Hut,MELBOURNE,197,4.6
26,GALBRAITH BEACH STUDIO 1,MARENGO,326,4.3
27,A Cozy CBD Home with Stunning Views,MELBOURNE,138,4.5
28,Melbourne Villa,HEIDELBERG (MELBOURNE),223,4.8
29,Etna Cottage - lovely private corner spa bath,MELBOURNE,146,3.8
30,Darling Suite in South Yarra,MELBOURNE,123,4.5
31,1 BR Grand Balcony Suite,MELBOURNE,161,4.4
32,Frogsong Cottage YELLOW,GOUGHS BAY,128,5.0
33,Ardingly Tiny House S,SHIRE OF MACEDON RANGES,184,5.0
34,Rockmans South Yarra is a Boutique style apartment,MELBOURNE,117,4.4
35,Your own private space,SHIRE OF MACEDON RANGES,106,5.0
36,St Kilda Rd apartment - light filled and lovely,MELBOURNE,169,5.0
37,"""Fitzroy St Studio 210"" - Pearl Apartments",MELBOURNE,128,3.8
38,Sandringham - Resort Lifestyle,MELBOURNE,239,4.7
39,one bedroom apartment with balcony,MELBOURNE,228,3.5
40,Chic warehouse apartment in hipster foodie hub,MELBOURNE,208,3.8
41,TREASURY on COLLINS Apartment Hotel in Melbourne CBD,MELBOURNE,378,4.6
42,Wyndel Apartments - Riverside On Collins,MELBOURNE,112,4.6
43,Woody lifestyle one bedroom apartment,OLINDA (VICTORIA),205,5.0
44,BHB Designer Collingwood,MELBOURNE,264,2.3
45,"""Fawkner"" - Pearl Apartments",MELBOURNE,124,4.7
46,Wyndel Apartments - St Kilda Views One Bedroom apartment Balcony/Gym,MELBOURNE,205,5.0
47,Fulton Lane  Luxury Apartment with a View in the CBD,MELBOURNE,174,5.0
48, Perfect Location Spacious 2BR Apt Near Flinders Station,MELBOURNE,177,5.0
49,EP4 - NEW SPACIOUS 1BR/1BTH - WIFI + NETFLIX!,MELBOURNE,180,4.3
50,U201 Brunswick Living Brand New Deluxe Balcony Upper Floor Apartment close to Airport and CBD,MELBOURNE,129,4.0
51,Ballarat Central Contemporary Apartments,BALLARAT,210,5.0
52,Stanbridge Cottage Daylesford,DAYLESFORD,209,4.9
53,CLOSE TO CENTRAL CITY OF BENDIGO,CITY OF GREATER BENDIGO,177,5.0
54,Elegant 1 bed 1 bath apartment free parking,MELBOURNE,180,5.0
55,Spacious 2 Bedroom Inner City Townhouse with Private Rooftop,MELBOURNE,296,4.9
56,Convenient City Apartment with Resort-style Extras,MELBOURNE,182,4.2
57,Spacious 1-BR CBD APT - BALCONY+NETFLIX!,MELBOURNE,167,4.7
58,The Dairy - Perfectly positioned right in the heart of town located behind the majestic Green Gables,CASTLEMAINE,214,4.6
59,Sun Valley 1A Studio,FALLS CREEK,193,4.9
60,Cozy Stay Cottage,HEPBURN SHIRE,195,4.2
61,Rendezvous Nexus Summ,SHIRE OF MURRINDINDI,221,5.0
62,Modern CBD Apartment - Free Secure Parking and Wifi,MELBOURNE,267,4.3
63,Wyndel Apartments -Southbank Views One Bedroom executive Balcony/Pool,MELBOURNE,175,4.6
64,Two BR Apt - 889 Collins St Waterfront Docklands,MELBOURNE,460,4.5
65,Serenity 11 - Room 4,SHIRE OF CARDINIA,103,3.5
66,North Melbourne Retreat,MELBOURNE,126,4.6
67,Leighton Bay Walk,METUNG,284,4.0
68,Elevated Plains Retreat 1,MOUNT FRANKLIN,244,4.8
69,Springfield Cottage - quiet getaway,SHIRE OF MACEDON RANGES,379,5.0
