Title,Location,Name,Relationship,Date,Source
"Lamb Inn & Store, Yan Yean",Yan Yean South (Vic.),Abbott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Morrells Junction, Mooroopna",Mooroopna (Vic.),Allen,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rose & Crown, Ballarat",Peel St (Ballarat Vic.),"Arthur, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial Hotel & Post Office & Store, Indigo",Indigo (Vic.),"Ashdown, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Rupanyup",Rupanyup (Vic.),"Ashmore, George Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Mansfield",Mansfield (Vic.),"Baldry, C C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Barkly",Barkly (Vic.),"Barker, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Limerick Castle, Ballarat",Bridge St (Ballarat Vic.),"Barney, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"McIvor, Maryborough",Maryborough (Vic.),"Barrett, Henry Harling",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Court House, Kyneton",Hutton St (Kyneton Vic.),"Barry, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bazley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Union, Ballarat",Humffray St (Ballarat Vic.),"Beckman, H",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Coleraine, Coleraine",Whyte St (Coleraine Vic.),"Bell, Richardson",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Standard, Linton",Suffolk St (Linton Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Red Bull, Ballarat",Humffray St (Ballarat Vic.),Bellinger,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dudley Castle, Ballarat",Barkly St (Ballarat Vic.),Bennett,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rokewood, Rokewood",Rokewood (Vic.),Bennett,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat",Armstrong St (Ballarat Vic.),Bentley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Horse, Ballarat",Main Rd (Ballarat Vic.),"Betts, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cosomopolitan, Ballarat",Humffray St (Ballarat Vic.),"Betts, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Windsor Arms, Ballarat",Armstrong St (Ballarat Vic.),"Bextream, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rainbow, Ballarat",Grant St (Ballarat Vic.),"Beyer, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"George, Ballarat",Lydiard St (Ballarat Vic.),"Bignall, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Avenal Arms, Hughes Creek",Hughes Creek (Vic.),"Bignell, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna",corner Main & Archer Sts (Mooroopna Vic.),Birch,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Stawell",Stawell (Vic.),"Blackburn, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Excelsior, Ballarat",Dana St (Ballarat Vic.),"Blackett, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Britannia, Ballarat",Bridge St (Ballarat Vic.),"Blythen, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Euroa",Euroa (Vic.),"De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bakery Hill, Ballarat",Humffray St (Ballarat Vic.),"Bourke, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Portland",Portland (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Merino Inn, Mosquito Flat",Mosquito Flat (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Soho, Ballarat",Urquhart St (Ballarat Vic.),"Bowes, Jessie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Blue Bell, St Arnaud",Melbourne Rd (St Arnaud Vic.),"Box , Daniel",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Andrew, Ballarat",Armstrong St (Ballarat Vic.),"Boyd, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Copenhagen, Ballarat",Sturt St (Ballarat Vic.),Boyd & Prescott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lake Wallace, Edenhope",Edenhope (Vic.),"Boyton, Chas Robt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Liverpool Arms, Ballarat",Victoria St (Ballarat Vic.),"Brabner, Cath",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carriers Arms, Craigieburn",Craigieburn (Vic.),"Bradley, Edward",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Corduroy Bridge Hotel & P O, Clarendon",Clarendon (Vic.),"Bradshaw, Henry John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Consols, Ballarat",Skipton St (Ballarat Vic.),"Brady, J E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grange Family, Hamilton",Hamilton (Vic.),Brake,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Yards Inn, Alfredton",Ballarat Alfredton (Vic.),"Brazenor, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Inverloch",Inverloch (Vic.),"Brook, Richard D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Rest, Warrnambool",Fairy St (Warrnambool Vic.),"Brooker, Chas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stag, Port Fairy",Port Fairy (Vic.),"Brown, A J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Castle, Raspberry Creek",Raspberry Creek (Vic.),"Brown, L Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British, Bowmans Forest",Bowmans Forest (Vic.),"Brown, Thomas Hince",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marramingo, Genoa River",Genoa River (Vic.),"Buckland, B H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Ballan",Ballan (Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Freemasons, Ballan",Inglis St (Ballan Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Quartz Miners, Stawell",Stawell (Vic.),"Burnside, J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"London, Portland",corner Bentinck & Julia Sts (Portland Vic.),"Bush, Timothy",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seymour, Seymour",Sydney Rd (Seymour Vic.),"Butler, Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Caledonian, Yea",High St (Yea Vic.),"Cairns, John William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bay View, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Family, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Caligari,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Condah",Condah (Vic.),"Cameron, Ewan",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
