tourist_site_name,tourist_site_address,tourist_site_rating,tourist_site_city
Huggins Lookout Point,"Huggins Rd, Bright VIC 3741, Australia",4.4,BRIGHT
Apex Lookout,"Bright VIC 3741, Australia",4.4,BRIGHT
Howitt Park,"7 Riverside Ave, Bright VIC 3741, Australia",4.6,BRIGHT
Tower Hill Lookout,"Bright VIC 3741, Australia",4.4,BRIGHT
Bright Centenary Park,"Canyon Walk, Bright VIC 3741, Australia",4.7,BRIGHT
Chinese Bridge,"Wandiligong VIC 3744, Australia",4.3,BRIGHT
Canyon Walk,"8 Star Rd, Bright VIC 3741, Australia",4.7,BRIGHT
Chinese Pavilion,"Wandiligong VIC 3744, Australia",4.0,BRIGHT
Apex Park,"79 Gavan St, Bright VIC 3741, Australia",4.7,BRIGHT
Wandi Woods,"40 Centenary Ave, Wandiligong VIC 3744, Australia",4.6,BRIGHT
Bright Art Gallery and Cultural Centre,"28 Mountbatten Ave, Bright VIC 3741, Australia",4.5,BRIGHT
Bright,"74 Johnstone Track, Bright VIC 3741, Australia",5.0,BRIGHT
Bright & Surrounds,"119 Gavan St, Bright VIC 3741, Australia",5.0,BRIGHT
Bright Escapes - Holiday Accommodation,"5/6 Anderson St, Bright VIC 3741, Australia",4.4,BRIGHT
Pioneer Park Recreation Reserve,"64/72 Coronation Ave, Bright VIC 3741, Australia",4.6,BRIGHT
BIG4 Bright,"1 Mountbatten Ave, Bright VIC 3741, Australia",4.6,BRIGHT
Bright Pine Valley Tourist Park,"7-15 Churchill Ave, Bright VIC 3741, Australia",4.7,BRIGHT
Merrimeet Cottages,"40 Showers Ave, Bright VIC 3741, Australia",4.8,BRIGHT
Bright Riverside Holiday Park,"4-10 Toorak Rd, Bright VIC 3741, Australia",4.4,BRIGHT
Bright Adventure Company,"Bright VIC 3741, Australia",5.0,BRIGHT
"Aradale Ghost Tours, Ararat Lunatic Asylum","Heath St, Ararat VIC 3377, Australia",4.3,ARARAT
One Tree Hill Lookout,"52 One Tree Hill Rd, Ararat VIC 3377, Australia",4.6,ARARAT
Gum San Chinese Heritage Centre,"31-33 Lambert St, Ararat VIC 3377, Australia",4.4,ARARAT
J Ward Museum,"Girdlestone St, Ararat VIC 3377, Australia",4.7,ARARAT
Alexandra Gardens Park,"Girdlestone St, Ararat VIC 3377, Australia",4.5,ARARAT
Green Hill Lake,"40 Vincent St, Ararat VIC 3377, Australia",4.5,ARARAT
Ararat Hills Park,"Western Hwy, Ararat VIC 3377, Australia",2.3,ARARAT
Langi Morgala Museum,"48 Queen St, Ararat VIC 3377, Australia",4.7,ARARAT
