City,Council
Abbeyard(3737),AlpineS
Abbotsford(3067),YarraC
Aberfeldie(3040),MooneeValleyC
Aberfeldy(3825),BawBawS
Acheron(3714),MurrindindiS
Ada(3833),BawBawS
AdamsEstate(3984),BassCoastS
Addington(3352),BallaratC
AdelaideLead(3465),CentralGoldfieldsS
Agnes(3962),SouthGippslandS
Ailsa(3393),YarriambiackS
AireValley(3237),ColacOtwayS
AireysInlet(3231),SurfCoastS
Airly(3851),WellingtonS
AirportWest(3042),MooneeValleyC
Albacutya(3424),HindmarshS
Albacutya(3424),YarriambiackS
Albanvale(3021),BrimbankC
AlbertPark(3206),PortPhillipC
Alberton(3971),WellingtonS
AlbertonWest(3971),WellingtonS
Albion(3020),BrimbankC
Alexandra(3714),MurrindindiS
Alfredton(3350),BallaratC
Allambee(3823),BawBawS
AllambeeReserve(3871),BawBawS
AllambeeReserve(3871),SthGippslandS
AllambeeSouth(3871),BawBawS
AllambeeSouth(3871),SouthGippslandS
AllansFlat(3691),IndigoS
Allansford(3277),MoyneS
Allansford(3277),WarrnamboolC
Allendale(3364),HepburnS
Allestree(3305),GlenelgS
Alma(3465),CentralGoldfieldsS
Almonds(3727),MoiraS
Almurta(3979),BassCoastS
Alphington(3078),DarebinC
Alphington(3078),YarraC
Altona(3018),HobsonsBayC
AltonaEast(3025),HobsonsBayC
AltonaMeadows(3028),HobsonsBayC
AltonaNorth(3025),HobsonsBayC
Alvie(3249),ColacOtwayS
Alvie(3249),CorangamiteS
Amherst(3371),CentralGoldfieldsS
Amor(3825),BawBawS
Amphitheatre(3468),PyreneesS
Anakie(3221),GoldenPlainsS
Anakie(3221),GreaterGeelongC
Ancona(3715),MansfieldS
Anderson(3995),BassCoastS
Angip(3393),YarriambiackS
AnglersRest(3898),EastGippslandS
Anglesea(3230),SurfCoastS
Annuello(3549),SwanHillRC
Antwerp(3414),HindmarshS
ApolloBay(3233),ColacOtwayS
Appin(3579),GannawarraS
AppinPark(3677),GannawarraS
AppinSouth(3579),GannawarraS
AppinSouth(3579),LoddonS
Apsley(3319),WestWimmeraS
Arapiles(3409),HorshamRC
Ararat(3377),AraratRC
Arawata(3951),SouthGippslandS
Arbuckle(3858),WellingtonS
Arcadia(3631),GreaterSheppartonC
ArcadiaSouth(3631),StrathbogieS
Archdale(3475),CentralGoldfieldsS
Archdale(3475),NorthernGrampiansS
ArchdaleJunction(3475),CentralGoldfieldsS
ArchdaleJunction(3475),NthnGrampiansS
Archerton(3723),BenallaRC
Archerton(3723),WangarattaRC
ArchiesCreek(3995),BassCoastS
