COUNCIL,CEO NAME,DEAR CEO,CEO TITLE,MAYOR NAME,DEAR MAYOR,MAYOR TITLE,POSTAL,POSTAL SUBURB,PCODE,DX,ADDRESS,SUBURB/ TOWN,CODE,TEL,FAX,EMAIL,WWW SITE
Alpine Shire Council,Mr Charlie Bird,Mr Bird,Chief Executive Officer,Cr Peter Roper,Cr Roper,Mayor,PO Box 139,BRIGHT,3741, ,Great Alpine Road,BRIGHT,3741,5755 0555,5755 1811,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au
Ararat Rural City Council,Dr Tim Harrison,Dr Harrison,Chief Executive Officer,Cr Jo Armstrong,Cr Armstrong,Mayor,PO Box 246,ARARAT,3377, ,59 Vincent Street,ARARAT,3377,5355 0200,5352 1695,council@ararat.vic.gov.au,www.ararat.vic.gov.au
Ballarat City Council,Ms Janet Dore,Ms Dore,Chief Executive Officer,Cr Ben Taylor,Cr Taylor,Mayor,PO Box 655,BALLARAT,3353, ,25 Armstrong Street South,BALLARAT,3350,5320 5500,5333 4061,info@ballarat.vic.gov.au,www.ballarat.vic.gov.au
Banyule City Council,Ms Allison Beckwith,Ms Beckwith,Chief Executive Officer,Cr Alison Champion,Cr Champion,Mayor,PO Box 94,GREENSBOROUGH,3088,DX 97904 Ivanhoe,1 Flintoff Street,GREENSBOROUGH,3088,9490 4222,9499 9475,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au
Bass Coast Shire Council,Ms Ali Wastie,Ms Wastie,Chief Executive Officer,Cr Brett Tessari,Cr Tessari,Mayor,PO Box 118,WONTHAGGI,3995,DX 34903 Wonthaggi,76 McBride Avenue,WONTHAGGI,3995,1300 BCOAST (226278) or 5671 2211,5671 2222,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au
Baw Baw Shire Council,Mr Mark Dupe,Mr Dupe,Chief Executive Officer,Cr Danny Goss,Cr Goss,Mayor,PO Box 304,WARRAGUL,3820, ,33 Young Street,DROUIN,3818,5624 2411,5622 3654,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au
Bayside City Council,Mr Mick Cummins,Mr Cummins,Chief Executive Officer,Cr Clarke Martin,Cr Martin,Mayor,PO Box 27,SANDRINGHAM,3191, ,76 Royal Avenue,SANDRINGHAM,3191,9599 4444,9598 4474,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au
Benalla Rural City Council,Mr Dominic Testoni ,Mr Testoni ,Chief Executive Officer,Cr Danny Claridge,Cr Claridge,Mayor,PO Box 227,BENALLA,3671,DX 32230 Benalla,1 Bridge Street East,BENALLA,3672,5760 2600,5762 5537,council@benalla.vic.gov.au,www.benalla.vic.gov.au
Boroondara City Council,Mr Phillip Storer,Mr Storer,Chief Executive Officer,Cr Cynthia Watson,Cr Watson,Mayor,Private Bag 1,CAMBERWELL,3124,DX 12206 Hawthorn,8 Inglesby Road,CAMBERWELL,3124,9278 4444,9278 4466,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au
Brimbank City Council,Ms Helen Morrissey,Ms Morrissey,Chief Executive Officer,Cr Georgina Papafotiou,Cr Papafotiou,Mayor,PO Box 70,SUNSHINE,3020, ,"Brimbank Community & Civic Centre, 301 Hampshire Rd",SUNSHINE,3020,9249 4000,9249 4351,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au
Buloke Shire Council,Mr Anthony Judd,Mr Judd,Chief Executive Officer,Cr Carolyn Stewart,Cr Stewart,Mayor,PO Box 1,WYCHEPROOF,3527, ,367 Broadway,WYCHEPROOF,3527,1300 520 520,5493 7395,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au
Campaspe Shire Council,Mr Declan Moore,Mr Moore,Chief Executive Officer,Cr Adrian Weston,Cr Weston,Mayor,PO Box 35,ECHUCA,3564,DX 62508 Echuca,Cnr Hare & Heygarth Streets,ECHUCA,3564,5481 2200,5481 2290,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au
Cardinia Shire Council,Ms Carol Jeffs,Ms Jeffs,Chief Executive Officer,Cr Jeff Springfield,Cr Springfield,Mayor,PO Box 7,PAKENHAM,3810,DX 81006 Pakenham,20 Siding Avenue,OFFICER,3809,1300 787 624,5941 3784,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au
