,Title,City
0,Old Melbourne Motor Inn,Melbourne
1,"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria",Melbourne
2,"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria",Melbourne
3,"Hotel Federal, Federal Coffee Palace, Melbourne, Victoria",Melbourne
4,"Fountain Inn, Port Melbourne, Victoria",Port Melbourne
5,"Mac's Hotel, 41 Bentinck Street, Portland 1856",Portland
6,"Star of the West Hotel, Port Fairy, Victoria",Port Fairy
7,"Star of the West Hotel, Port Fairy, Victoria",Port Fairy
8,"Star of the West Hotel, Port Fairy, Victoria",Port Fairy
9,Corner of James and Bank Streets,Port Fairy
10,"Star of the West Hotel, Port Fairy, Victoria",Port Fairy
11,"Commercial Hotel, Yambuk, Victoria",Yambuk
12,"Clarkefield Hotel, Clarkefield, Victoria",Clarkefield
13,"Spencer Street East, Melbourne, Victoria",Spencer Street
14,"Spencer Street East, Melbourne, Victoria",Spencer Street
15,"Spencer Street East, Melbourne, Victoria",Spencer Street
16,"Spencer Street East, Melbourne, Victoria",Spencer Street
17,"Spencer Street East, Melbourne, Victoria",Spencer Street
18,"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Fish Creek
19,"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Fish Creek
20,"Fish Creek hotel, unidentified man, almost half length, to left and down, smiling, wearing hat",Fish Creek
21,"Elizabeth Street East, Melbourne, Victoria",Elizabeth Street
22,"Corner of Queen Street east and Flinders Street north, Melbourne, Victoria",Flinders Street
23,"Harvest Home Hotel, Avenel, Victoria",Avenel
24,"Royal Mail Hotel, Avenel, Victoria",Avenel
25,"Royal Mail Hotel, Avenel, Victoria",Avenel
26,"Royal Mail Hotel, Avenel, Victoria",Avenel
27,"Seymour, Trawool ""Worrough""",Seymour
28,"Seymour, Trawool ""Worrough""",Seymour
29,Vale of Avoca - Hotel 1878-1926,Charlton
30,"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq",Elgin Street; Cardigan Street
31,"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq",Elgin Street; Cardigan Street
32,"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq",Elgin Street; Cardigan Street
33,"Reconstruction of the Clyde Hotel, corner of Cardigan and Elgin Streets, Carlton, for Osmond Smith Esq",Elgin Street; Cardigan Street
34,Napier Street Fitzroy from Condell Street to Little Victoria Street - west side,Napier Street
35,Napier Street Fitzroy from Condell Street to Little Victoria Street - west side,Fitroy
36,"Cumberland Hotel, Lorne Victoria",Lorne
37,Brighton Beach,Brighton Beach
38,"Emerald Hotel, Emerald Hill (later South Melbourne)",South Melbourne
39,"Greggs Hotel, South Brighton",Brighton
40,"The White Hart, Bourke Street East",Melbourne
41,"Menzies Hotel, Bourke Street, elevated views of Melbourne buildings",Melbourne
42,Panorama of Melbourne in 1881 taken from the tower of The Law Courts for the Corporation of The City,William Street
43,"Fyan's Ford and Swan Hotel, Near Geelong",Fyansford
44,Court House Hotel Smythesdale,Smythesdale
45,"Black Hill Hotel, Smythesdale",Smythesdale
46,Miller's Family Hotel,Victoria
47,"Yallourn Hotel, Broadway, Yallourn, Victoria",Yallourn
48,Two buildings viewed from the opposite side of the street,Victoria
49,Two buildings viewed from the opposite side of the street,Victoria
50,"Tour bus outside the Mt. Remarkable Hotel, South Australia",Victoria
51,"Earl of Zetland Hotel, 23 Stanley Street, East Collingwood",Stanley Street
52,"Brunswick Hotel 111 Brunswick Street Fitzroy, picture",Brunswick Street
53,"Power's Derby Hotel, 66 Gertrude Street, Fitzroy",Gertrude Street
54,"Mac's Hotel, 132 Smith Street, East Collingwood",Smith Street
55,House/hotel - fence and palm tree,Victoria
56,Caledonian Hotel,Victoria
57,"Grand Hotel, Mildura, Victoria",Mildura
58,Lonsdale Street looking East from Queen Street,Lonsdale Street
59,Elizabeth Street looking South from Bourke Street,Elizabeth Street
60,Builder's Arms Hotel,Victoria
61,"Golden Age Hotel, Melbourne, Victoria",Melbourne
62,"Imperial Hotel, Castlemaine",Castlemaine
63,Stage Coach At Ringwood,Ringwood
64,Menzies Hotel Dining Room,Melbourne
65,Menzies Hotel Function Room,Melbourne
66,Globe Hotel Corner Little Bourke and Swanston Street,Melbourne
67,Menzies Hotel,William Street; Bourke Street
68,Queens Arms Hotel,Melbourne
69,London Hotel,Portland
70,Bennett's Black Bull Hotel,Geelong
71,Hotel Genoa,Lakes Entrance
