,Hotel,City
0,Lamb Inn & Store,Yan Yean
1,Morrells Junction,Mooroopna
2,Rose & Crown,Ballarat
3,Commercial Hotel & Post Office & Store,Indigo
4,Royal,Rupanyup
5,Royal,Mansfield
6,Woolpack,Barkly
7,Limerick Castle,Ballarat
8,McIvor,Maryborough
9,Court House,Kyneton
10,Commercial,Mooroopna
11,Union,Ballarat
12,Coleraine,Coleraine
13,Royal Standard,Linton
14,Commercial,Mooroopna
15,Red Bull,Ballarat
16,Dudley Castle,Ballarat
17,Rokewood,Rokewood
18,Eureka,Ballarat
19,White Horse,Ballarat
20,Cosomopolitan,Ballarat
21,Windsor Arms,Ballarat
22,Rainbow,Ballarat
23,George,Ballarat
24,Avenal Arms,Hughes Creek
25,Royal Mail,Mooroopna
26,Commercial,Stawell
27,Excelsior,Ballarat
28,Britannia,Ballarat
29,Railway,Euroa
30,Bakery Hill,Ballarat
31,Macs,Portland
32,Merino Inn,Mosquito Flat
33,Soho,Ballarat
34,Blue Bell,St Arnaud
35,St Andrew,Ballarat
36,Copenhagen,Ballarat
37,Lake Wallace,Edenhope
38,Liverpool Arms,Ballarat
39,Carriers Arms,Craigieburn
40,Corduroy Bridge Hotel & P O,Clarendon
41,Consols,Ballarat
42,Grange Family,Hamilton
43,Cattle Yards Inn,Alfredton
44,Esplanade,Inverloch
45,Farmers Rest,Warrnambool
46,Stag,Port Fairy
47,Castle,Raspberry Creek
48,British,Bowmans Forest
49,Marramingo,Genoa River
50,Railway,Ballan
51,Freemasons,Ballan
52,Quartz Miners,Stawell
53,London,Portland
54,Seymour,Seymour
55,Caledonian,Yea
56,Bay View,Portarlington
57,Family,Portarlington
58,Commercial,Mooroopna
59,Fleece Inn,Condah
60,Fleece Inn,Green Hills
61,Tri Bhean,Glen Watts
62,Post Office,Beechworth
63,Countess,Ballarat
64,Commercial,Mooroopna
65,Seven Creeks Hotel & Store,Kialla West
66,Straffordshire Arms,Ballarat
67,White Hart,Ballarat
68,Metropolitan,Castlemaine
69,Carngham Inn,Carngham
70,Eureka,Ballarat
71,Elephant & Castle,Ballarat
72,Royal,Rupanyup
73,Vine,Ballarat
74,Roseberry,Roseberry
75,Carriers Arms,Ballarat
76,Ross Bridge,Rossbridge
77,New Scotch,Ballarat
78,Prince Albert,Lockwood
79,La Mascotte,Castlemaine
80,Waaia,Waaia
81,Stag & Hound,Ballarat
82,Scotchmans Arms,Ballarat
83,Railway,East Murchison
84,Victorian Alps,Macedon
85,Bridge,Dargo
86,St Leonards,St Leonards
87,Commercial,Kyneton
88,St Leonards,St Leonards
89,Clunes,Clunes North
90,Dairy & Ice Works,Rushworth
91,Warrnambool,Warrnambool
92,Balaclava,Whroo
93,Royal,Wangaratta
94,Royal,Kyneton
95,Woolpack,Bacchus Marsh
96,Leura,Camperdown
97,Commercial,Mooroopna
98,Golden Fleece,Charlton
99,Victoria,Benalla
100,Victoria,Warrnambool
101,Western,Warrnambool
102,All Nations,Red Hill
103,All Nations,Barramunga
104,All Nations,Red Hill
105,Clarkes,Ballarat
106,Shearers Arms,Newtown
107,Ancient Briton,Ballarat
108,Railway,Euroa
109,King Parrot,Drouin South
110,Belmont,Thomastown
111,North Eastern,Benalla
112,Railway,Baddaginnie
113,Criterion,Sale
114,Robin Hood,Drouin West ( Vic. -- Hotels -- Robin Hood
115,Harp of Erin,Kyneton
116,Imperial,Ballarat
117,Royal Victoria,Wangaratta
118,Grand Terminus,Bairnsdale
119,Donegans,Ballarat
120,Railway,Ballarat
121,Foresters Inn,Harrow
122,Criterion,Rochester
123,Mt Egerton,Mount Egerton
124,Myrniong,Myrniong
125,Victorian,Byrneside
126,Grand National,Ballarat
127,Exchange,Foster
128,Lancefield Hotel & Store,Mooroopna
129,Port Phillip,Ballarat
130,Half-way House,Ballarat
131,Post Office,Ballarat
132,Lillimur,Lillimur
133,Shamrock,Sale
134,Grand Terminus,Bairnsdale
135,Prince of Wales,Ballarat
136,Marysville,Marysville
137,Woolpack,Sale
138,Railway,Bannockburn
139,Fawn,Ballarat
140,Macs,Mortlake
