Hotel_name,Hotel_city,Hotel_price
Luxury on the water,Melbourne,A$228 / night
"Gorgeous Brighton home ideal location, pet friendly",Melbourne,A$336 / night
Sailors Falls Estate - Studio Apartment,Hepburn Shire,A$199 / night
Roses of Daylesford - Rosemary Cottage ~ Beautiful,Daylesford,A$235 / night
Post Office Cottage- relax in peaceful surrounds.,Victoria,A$113 / night
The Pebble House-Tarnagulla,Victoria,A$122 / night
Some of the best views in Australia are right here.,Rural City of Wangaratta,A$154 / night
"New Modern, luxurious studio appartment 5mins walk to beach, shops and cafe's.",Cape Woolamai,A$279 / night
"Maple Cottage ""The Studio"" Trentham - $99 mid week Specials 700m CBD",Trentham,A$172 / night
Bella Loft: luxury studio apartment in the heart of Woodend,Woodend,A$270 / night
The Gatehouse - Light filled  cottage  in the leafy suburb of Hawthorn,Melbourne,A$200 / night
"Port Melbourne Seaviews, Gym, Pool & Tennis!",Melbourne,A$200 / night
Lilac Cottage - central but quiet,City of Greater Bendigo,A$133 / night
Big Tiny Altitude Tiny House Experience,Shire of Macedon Ranges,A$226 / night
"3BR house with pool, close to city and beaches!",Melbourne,A$311 / night
Kate's Place Daylesford Bordering The Botanic Gardens,Daylesford,A$235 / night
Lakeside Dream-Platypus/Lyrebirds/Views/Walks 欢迎回家,Melbourne,A$214 / night
Geelong Manna Gum Tiny House,Surf Coast Shire,A$206 / night
Grand Designs East Melbourne 5x4 Eco House,Melbourne,A$355 / night
Romantic Getaway in the Macedon Ranges,Shire of Macedon Ranges,A$221 / night
A peaceful retreat in the heart of Carlton,Melbourne,A$224 / night
Glenlowren,Shire of Yarra Ranges,A$379 / night
RACV Goldfields Resort,Creswick,A$242 / night
Castlemaine Gardens Luxury Glamping,Castlemaine,A$240 / night
BIG4 Melbourne Holiday Park,Melbourne,A$139 / night
Lakes and Craters Holiday Park,Corangamite,A$160 / night
HISTORIC 1868 COBB AND CO. INN,Shire of Northern Grampians,A$111 / night
Sambar Studio Bed & Breakfast,Shire of Nillumbik,A$245 / night
Frog Hollow Eastern Banjo Daylesford,Mount Franklin,A$256 / night
Golden Place | Business Stay | Couples Getaway | WIFI,City of Greater Bendigo,A$264 / night
Country Style Art Deco Inspired 2 bedroom house with off street parking,Melbourne,A$234 / night
Blackwood Tiny Summar,Shire of Colac Otway,A$237 / night
Blue Cliffs Dusk Spa Villa,Mount Franklin,A$297 / night
"Kara's at Bungal..Romantic Getaway .. Sorry, unavailable for bookings",Shire of Moorabool,A$320 / night
ICON CENTRAL HALLS GAP,Halls Gap,A$650 / night
Lily's Farm Studio,Hepburn Shire,A$206 / night
The Snug Premium 1BR Self Contained Apartment,Shire of South Gippsland,A$157 / night
Perfect Cosy Retreat Cottage Russki Country Sauna & Spa Hut,Melbourne,A$197 / night
ACROSS THE ROAD FROM THE BEACH!,Inverloch,A$287 / night
GALBRAITH BEACH STUDIO 1,Marengo,A$326 / night
A Cozy CBD Home with Stunning Views,Melbourne,A$138 / night
Melbourne Villa,Heidelberg (Melbourne),A$223 / night
"Etna Cottage - lovely, private, corner spa bath",Melbourne,A$146 / night
Darling Suite in South Yarra,Melbourne,A$123 / night
The Michel-Roget French Deco Chic,Melbourne,A$398 / night
1 BR Grand Balcony Suite,Melbourne,A$161 / night
A Share-room Preston Melbourne,Melbourne,A$22 / night
Frogsong Cottage YELLOW,Goughs Bay,A$128 / night
Ardingly Tiny House S,Shire of Macedon Ranges,A$184 / night
Rockmans South Yarra is a Boutique style apartment,Melbourne,A$117 / night
Your own private space,Shire of Macedon Ranges,A$106 / night
St Kilda Rd apartment - light filled and lovely,Melbourne,A$169 / night
BHB Designer Collingwood Apartment*Free Wine*Netflix*Wifi,Melbourne,A$230 / night
"""Fitzroy St Studio 210"" - Pearl Apartments",Melbourne,A$128 / night
Sandringham - Resort Lifestyle,Melbourne,A$239 / night
one bedroom apartment with balcony,Melbourne,A$228 / night
"Chic warehouse apartment in hipster, foodie hub",Melbourne,A$208 / night
TREASURY on COLLINS Apartment Hotel in Melbourne CBD,Melbourne,A$378 / night
Wyndel Apartments - Riverside On Collins,Melbourne,A$112 / night
Woody lifestyle one bedroom apartment,Olinda (Victoria),A$205 / night
Comfy studio 4 mins walk to Clayton  train station/plenty shops restaurants etc.,Melbourne,A$75 / night
BHB Designer Collingwood,Melbourne,A$264 / night
★ A Stylish CBD Apartment with A Stunning View ★,Melbourne,A$161 / night
A Stylish & Comfy CBD Studio Near Southern Cross,Melbourne,A$387 / night
"""Fawkner"" - Pearl Apartments",Melbourne,A$124 / night
Collins House · Deluxe Collins St Apartment with City Views + Gym,Melbourne,A$181 / night
Wyndel Apartments - St Kilda Views One Bedroom apartment Balcony/Gym,Melbourne,A$205 / night
"""Botanical"" - Pear Apartments",Melbourne,A$124 / night
Fulton Lane · Luxury Apartment with a View in the CBD,Melbourne,A$174 / night
Brentwood B&B Apartments - Garden View Apartment - Stunning setting for couples.,Healesville,A$248 / night
"Unlimited WiFi, View of the Casino and Yarra River",Melbourne,A$66 / night
Flinders Street Melbourne Apartments,Melbourne,A$81 / night
Modern 1 Bedroom Apartment in North Melbourne,Melbourne,A$204 / night
Treetops Tiny Summary,Shire of Mount Alexander,A$206 / night
"♡ Perfect Location, Spacious 2BR Apt Near Flinders Station",Melbourne,A$177 / night
EP4 - NEW SPACIOUS 1BR/1BTH - WIFI + NETFLIX!,Melbourne,A$180 / night
StayCentral on George,Melbourne,A$203 / night
U201 Brunswick Living Brand New Deluxe Balcony Upper Floor Apartment close to Airport and CBD,Melbourne,A$129 / night
A Bright & Modern CBD Apt Next to Southern Cross,Melbourne,A$407 / night
Ballarat Central Contemporary Apartments,Ballarat,A$210 / night
Stanbridge Cottage Daylesford,Daylesford,A$209 / night
CLOSE TO CENTRAL CITY OF BENDIGO,City of Greater Bendigo,A$177 / night
"Elegant 1 bed 1 bath apartment, free parking",Melbourne,A$180 / night
"The Sanctuary, perfect for holiday seekers, expats and professionals",Melbourne,A$243 / night
Spacious 2 Bedroom Inner City Townhouse with Private Rooftop,Melbourne,A$296 / night
Convenient City Apartment with Resort-style Extras,Melbourne,A$182 / night
Collins House · New York style Collins St Apartment + Gym,Melbourne,A$181 / night
Spacious 1-BR CBD APT - BALCONY+NETFLIX!,Melbourne,A$167 / night
Mid term stay one bedroom apartment,Melbourne,A$169 / night
"A Modern Apt, 5-min Walk to Queen Victoria Market",Melbourne,A$161 / night
The Dairy - Perfectly positioned right in the heart of town located behind the majestic Green Gables,Castlemaine,A$214 / night
Domi Rentals - The Toorak Residence,Melbourne,A$174 / night
Sun Valley 1A Studio,Falls Creek,A$193 / night
New York Loft style apartment 4 km to CBD,Melbourne,A$309 / night
Executive Collins Street Apartments,Melbourne,A$199 / night
Little Lill's Cottage,Warburton,A$173 / night
Cozy Stay Cottage,Hepburn Shire,A$195 / night
Rendezvous Nexus Summ,Shire of Murrindindi,A$221 / night
Modern CBD Apartment - Free Secure Parking and Wifi,Melbourne,A$267 / night
Wyndel Apartments -Southbank Views One Bedroom executive Balcony/Pool,Melbourne,A$175 / night
Little☕Italia 🍝lygon st 1 bed long stays Welcome,Melbourne,A$82 / night
"Two BR Apt - 889 Collins St Waterfront, Docklands",Melbourne,A$460 / night
Serenity 11 - Room 4,Shire of Cardinia,A$103 / night
North Melbourne Retreat,Melbourne,A$126 / night
Koovelly Garden Studio,Hepburn,A$215 / night
"Young St, Fitzroy, Luxico Group Pty Ltd",Melbourne,A$450 / night
Leighton Bay Walk,Metung,A$284 / night
Stylish One-Bed Apartment With Balcony and Parking,Melbourne,A$161 / night
"Luxuary NEW APT 2BRM 2BTH, WIFI, PARKING, walking distance to Melbourne CBD",Melbourne,A$194 / night
Elevated Plains Retreat 1,Mount Franklin,A$244 / night
Stylish Prahran loft - walk to Chapel St,Melbourne,A$193 / night
Springfield Cottage - quiet getaway,Shire of Macedon Ranges,A$379 / night
"Walk to cafe, park, perfect for a small family",Melbourne,A$356 / night
"Albert Park Lake and MSAC 2min Walk, Parking, Balcony, BBQ",Melbourne,A$261 / night
New York style light filled large 1 bedroom in iconic heritage building,Melbourne,A$204 / night
Self-isolate in country comfort,Ballarat,A$102 / night
Melbourne - sporting capital of the world - stay in the heart of the action - SY,Melbourne,A$156 / night
Brand new 2 BD UNIT IN DEER PARK VIC CLOSE TO DEER PARK TRAIN STATION- FWY- CITY,Melbourne,A$201 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$172 / night
PLUM TREE STUDIO - spa cabin,Skenes Creek,A$581 / night
"South Yarra Style, Location, Amenity",Melbourne,A$189 / night
STUNNING ART DECO EAST MELBOURNE APARTMENT WITH PRIVATE COURTYARD,Melbourne,A$339 / night
Artsy Apartment CBD City Views and Balcony,Melbourne,A$228 / night
Domi Rentals - The Brunswick Apartment,Melbourne,A$171 / night
A NY Style Loft in Melbourne CBD,Melbourne,A$399 / night
BOUTIQUE STAYS - Maybloom,Melbourne,A$244 / night
24 Hotham 1 Bed Apartment,Hotham Heights,A$268 / night
2 bedroom house at Woodside Beach,Shire of Wellington,A$331 / night
Domi Rentals - The Murra Apartments,Melbourne,A$123 / night
Location location location !,Ballarat,A$138 / night
"Apres Apartment, alpine-getaways",Harrietville,A$289 / night
Domi Rentals - The Celeste Apartments,Melbourne,A$173 / night
Domi Rentals - The Lea Apartment,Melbourne,A$171 / night
Mansi on Raymond Terrace Studio,Shire of Wellington,A$215 / night
"No Eye Deer Studio in CBD,FREE 5G WiFi 房东说普通话,广东话",Melbourne,A$244 / night
Unforgettable studio for family,Greater Geelong City,A$189 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$170 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$172 / night
Musical Village Retreat: A Taste Of London,Shire of Baw Baw,A$148 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$173 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$172 / night
"Village Apartment Yarraville -  Wifi, Foxtel, Secure parking",Melbourne,A$213 / night
Spacious Apartment in the Heart of Melbourne's CBD,Melbourne,A$219 / night
Urban Comfort 2 Bedroom Unit,Shire of Wellington,A$182 / night
Homely Getaways @ Queen Vic Market,Melbourne,A$156 / night
Come to Melbourne & Enjoy the Sporting Capital of Australia - 211,Melbourne,A$151 / night
Richmond Hill Townhouse,Melbourne,A$224 / night
"Walk to the MCG, The Tan, Botanic gardens & train",Melbourne,A$204 / night
"Little Charles, Fitzroy",Melbourne,A$497 / night
HazelStudio in Melbourne CBD,Melbourne,A$153 / night
"Penthouse 2-bed 1 bath, wifi,  Netflix, 1 car spaces",Melbourne,A$224 / night
"Character, comfort and convenience in Caulfield Nth",Melbourne,A$142 / night
Summer in Melbourne - Tennis - Beach - Cricket - Grand Prix - Concerts - G2,Melbourne,A$151 / night
Maddox · MADDOX: 5min Walk to Train with Netflix & Parking,Melbourne,A$235 / night
Stunning Bright 1BRAPT@Hawthron/Glenferrie Station,Melbourne,A$168 / night
Funky Laneway Studio in the Heart of Melbourne! Cozy apartment in an great Location!,Melbourne,A$142 / night
SOUTH MELBOURNE - Unit 104,Melbourne,A$138 / night
"Clayton One Bedroom Stylish Apartment, FREE PARKING, WIFI & FOXTEL",Melbourne,A$183 / night
Cute cosy Gypsy Caravan with outdoor bath and firepit,Warburton,A$60 / night
3 Bedroom home in Heidelberg Heights,Melbourne,A$186 / night
Sick Of Hotel Rooms? Enjoy a Quiet Stay on a Luxury yacht,Melbourne,A$481 / night
Berrys Creek Tiny House,Shire of South Gippsland,A$195 / night
The Chook House Summa,Shire of Moira,A$206 / night
Stylish Melbourne CBD Lighthouse Apartment,Melbourne,A$159 / night
Short Stay 1 Bedroom Freshwater Place Luxury Apt,Melbourne,A$144 / night
Modern St Kilda East 1 Bedroom Apartment - Free parking,Melbourne,A$206 / night
