City,Council
Abbeyard (3737),Alpine S  
Abbotsford (3067),Yarra C  
Aberfeldie (3040),Moonee Valley C  
Aberfeldy (3825),Baw Baw S  
Acheron (3714),Murrindindi S  
Ada (3833),Baw Baw S  
Adams Estate (3984),Bass Coast S  
Addington (3352),Ballarat C  
Adelaide Lead (3465),Central Goldfields S  
Agnes (3962),South Gippsland S  
Ailsa (3393),Yarriambiack S  
Aire Valley (3237),Colac Otway S  
Aireys Inlet (3231),Surf Coast S  
Airly (3851),Wellington S  
Airport West (3042),Moonee Valley C  
Albacutya (3424),Hindmarsh S  
Albacutya (3424),Yarriambiack S  
Albanvale (3021),Brimbank C  
Albert Park (3206),Port Phillip C  
Alberton (3971),Wellington S  
Alberton West (3971),Wellington S  
Albion (3020),Brimbank C  
Alexandra (3714),Murrindindi S  
Alfredton (3350),Ballarat C  
Allambee (3823),Baw Baw S  
Allambee Reserve (3871),Baw Baw S  
Allambee Reserve (3871),Sth Gippsland S  
Allambee South (3871),Baw Baw S  
Allambee South (3871),South Gippsland S  
Allans Flat (3691),Indigo S  
Allansford (3277),Moyne S  
Allansford (3277),Warrnambool C  
Allendale (3364),Hepburn S  
Allestree (3305),Glenelg S  
Alma (3465),Central Goldfields S  
Almonds (3727),Moira S  
Almurta (3979),Bass Coast S  
Alphington (3078),Darebin C  
Alphington (3078),Yarra C  
Altona (3018),Hobsons Bay C  
Altona East (3025),Hobsons Bay C  
Altona Meadows (3028),Hobsons Bay C  
Altona North (3025),Hobsons Bay C  
Alvie (3249),Colac Otway S  
Alvie (3249),Corangamite S  
Amherst (3371),Central Goldfields S  
Amor (3825),Baw Baw S  
Amphitheatre (3468),Pyrenees S  
Anakie (3221),Golden Plains S  
Anakie (3221),Greater Geelong C  
Ancona (3715),Mansfield S  
Anderson (3995),Bass Coast S  
Angip (3393),Yarriambiack S  
Anglers Rest (3898),East Gippsland S  
Anglesea (3230),Surf Coast S  
Annuello (3549),Swan Hill RC  
Antwerp (3414),Hindmarsh S  
Apollo Bay (3233),Colac Otway S  
Appin (3579),Gannawarra S  
Appin Park (3677),Gannawarra S  
Appin South (3579),Gannawarra S  
Appin South (3579),Loddon S  
Apsley (3319),West Wimmera S  
Arapiles (3409),Horsham RC  
Ararat (3377),Ararat RC  
Arawata (3951),South Gippsland S  
Arbuckle (3858),Wellington S  
Arcadia (3631),Greater Shepparton C  
Arcadia South (3631),Strathbogie S  
Archdale (3475),Central Goldfields S  
Archdale (3475),Northern Grampians S  
Archdale Junction(3475),Central GoldfieldsS  
Archdale Junction (3475),Nthn Grampians S  
