City,Hotel
YanYean,LambInn&Store
Mooroopna,MorrellsJunction
Ballarat,Rose&Crown
Indigo,CommercialHotel&PostOffice&Store
Rupanyup,Royal
Mansfield,Royal
Barkly,Woolpack
Ballarat,LimerickCastle
Maryborough,McIvor
Kyneton,CourtHouse
Mooroopna,Commercial
Ballarat,Union
Coleraine,Coleraine
Linton,RoyalStandard
Mooroopna,Commercial
Ballarat,RedBull
Ballarat,DudleyCastle
Rokewood,Rokewood
Ballarat,Eureka
Ballarat,WhiteHorse
Ballarat,Cosomopolitan
Ballarat,WindsorArms
Ballarat,Rainbow
Ballarat,George
HughesCreek,AvenalArms
Mooroopna,RoyalMail
Stawell,Commercial
Ballarat,Excelsior
Ballarat,Britannia
Euroa,Railway
Ballarat,BakeryHill
Portland,Macs
MosquitoFlat,MerinoInn
Ballarat,Soho
StArnaud,BlueBell
Ballarat,StAndrew
Ballarat,Copenhagen
Edenhope,LakeWallace
Ballarat,LiverpoolArms
Craigieburn,CarriersArms
Clarendon,CorduroyBridgeHotel&PO
Ballarat,Consols
Hamilton,GrangeFamily
Alfredton,CattleYardsInn
Inverloch,Esplanade
Warrnambool,FarmersRest
PortFairy,Stag
RaspberryCreek,Castle
BowmansForest,British
GenoaRiver,Marramingo
Ballan,Railway
Ballan,Freemasons
Stawell,QuartzMiners
Portland,London
Seymour,Seymour
Yea,Caledonian
Portarlington,BayView
Portarlington,Family
Mooroopna,Commercial
Condah,FleeceInn
GreenHills,FleeceInn
GlenWatts,TriBhean
Beechworth,PostOffice
Ballarat,Countess
Mooroopna,Commercial
KiallaWest,SevenCreeksHotel&Store
Ballarat,StraffordshireArms
Ballarat,WhiteHart
Castlemaine,Metropolitan
Carngham,CarnghamInn
Ballarat,Eureka
Ballarat,Elephant&Castle
Rupanyup,Royal
Ballarat,Vine
Roseberry,Roseberry
Ballarat,CarriersArms
Rossbridge,RossBridge
Ballarat,NewScotch
Lockwood,PrinceAlbert
Castlemaine,LaMascotte
Waaia,Waaia
Ballarat,Stag&Hound
Ballarat,ScotchmansArms
EastMurchison,Railway
Macedon,VictorianAlps
Dargo,Bridge
StLeonards,StLeonards
Kyneton,Commercial
StLeonards,StLeonards
ClunesNorth,Clunes
Rushworth,Dairy&IceWorks
Warrnambool,Warrnambool
Whroo,Balaclava
Wangaratta,Royal
Kyneton,Royal
BacchusMarsh,Woolpack
Camperdown,Leura
Mooroopna,Commercial
Charlton,GoldenFleece
Benalla,Victoria
Warrnambool,Victoria
Warrnambool,Western
RedHill,AllNations
Barramunga,AllNations
RedHill,AllNations
Ballarat,Clarkes
Newtown,ShearersArms
Ballarat,AncientBriton
Euroa,Railway
DrouinSouth,KingParrot
Thomastown,Belmont
Benalla,NorthEastern
Baddaginnie,Railway
Sale,Criterion
DrouinWest(Vic.--Hotels--RobinHood,RobinHood
Kyneton,HarpofErin
Ballarat,Imperial
Wangaratta,RoyalVictoria
Bairnsdale,GrandTerminus
Ballarat,Donegans
Ballarat,Railway
Harrow,ForestersInn
Rochester,Criterion
MountEgerton,MtEgerton
Myrniong,Myrniong
Byrneside,Victorian
