,Council,City
0,AlpineS,Abbeyard
1,YarraC,Abbotsford
2,MooneeValleyC,Aberfeldie
3,BawBawS,Aberfeldy
4,MurrindindiS,Acheron
5,BawBawS,Ada
6,BassCoastS,AdamsEstate
7,BallaratC,Addington
8,CentralGoldfieldsS,AdelaideLead
9,SouthGippslandS,Agnes
10,YarriambiackS,Ailsa
11,ColacOtwayS,AireValley
12,SurfCoastS,AireysInlet
13,WellingtonS,Airly
14,MooneeValleyC,AirportWest
15,HindmarshS,Albacutya
16,YarriambiackS,Albacutya
17,BrimbankC,Albanvale
18,PortPhillipC,AlbertPark
19,WellingtonS,Alberton
20,WellingtonS,AlbertonWest
21,BrimbankC,Albion
22,MurrindindiS,Alexandra
23,BallaratC,Alfredton
24,BawBawS,Allambee
25,BawBawS,AllambeeReserve
26,SthGippslandS,AllambeeReserve
27,BawBawS,AllambeeSouth
28,SouthGippslandS,AllambeeSouth
29,IndigoS,AllansFlat
30,MoyneS,Allansford
31,WarrnamboolC,Allansford
32,HepburnS,Allendale
33,GlenelgS,Allestree
34,CentralGoldfieldsS,Alma
35,MoiraS,Almonds
36,BassCoastS,Almurta
37,DarebinC,Alphington
38,YarraC,Alphington
39,HobsonsBayC,Altona
40,HobsonsBayC,AltonaEast
41,HobsonsBayC,AltonaMeadows
42,HobsonsBayC,AltonaNorth
43,ColacOtwayS,Alvie
44,CorangamiteS,Alvie
45,CentralGoldfieldsS,Amherst
46,BawBawS,Amor
47,PyreneesS,Amphitheatre
48,GoldenPlainsS,Anakie
49,GreaterGeelongC,Anakie
50,MansfieldS,Ancona
51,BassCoastS,Anderson
52,YarriambiackS,Angip
53,EastGippslandS,AnglersRest
54,SurfCoastS,Anglesea
55,SwanHillRC,Annuello
56,HindmarshS,Antwerp
57,ColacOtwayS,ApolloBay
58,GannawarraS,Appin
59,GannawarraS,AppinPark
60,GannawarraS,AppinSouth
61,LoddonS,AppinSouth
62,WestWimmeraS,Apsley
63,HorshamRC,Arapiles
64,AraratRC,Ararat
65,SouthGippslandS,Arawata
66,WellingtonS,Arbuckle
67,GreaterSheppartonC,Arcadia
68,StrathbogieS,ArcadiaSouth
69,CentralGoldfieldsS,Archdale
70,NorthernGrampiansS,Archdale
71,CentralGoldfieldsS,ArchdaleJunction
72,NthnGrampiansS,ArchdaleJunction
73,BenallaRC,Archerton
74,WangarattaRC,Archerton
75,BassCoastS,ArchiesCreek
76,BrimbankC,Ardeer
77,GreaterSheppartonC,Ardmona
78,YarriambiackS,Areegra
79,GreaterBendigoC,Argyle
80,StonningtonC,Armadale
81,AraratRC,Armstrong
82,LoddonS,Arnold
83,LoddonS,ArnoldWest
84,NillumbikS,ArthursCreek
85,MorningtonPenS,ArthursSeat
86,BallaratC,Ascot
87,GreaterBendigoC,Ascot
88,MooneeValleyC,AscotVale
89,MacedonRangesS,Ashbourne
90,BoroondaraC,Ashburton
91,MonashC,Ashwood
92,KingstonC,Aspendale
93,KingstonC,AspendaleGardens
94,BawBawS,Athlone
95,HumeC,Attwood
96,YarriambiackS,Aubrey
97,BoroondaraC,Auburn
98,BoroondaraC,AuburnSouth
99,LoddonS,Auchmore
100,GreaterGeelongC,Avalon
101,MitchellS,Avenel
102,StrathbogieS,Avenel
103,PyreneesS,Avoca
104,NorthernGrampiansS,AvonPlains
105,MooneeValleyC,AvondaleHeights
106,GreaterBendigoC,Avonmore
107,CardiniaS,Avonsleigh
108,GreaterBendigoC,AxeCreek
109,GreaterBendigoC,Axedale
110,CorangamiteS,Ayrford
111,MoyneS,Ayrford
112,MooraboolS,BacchusMarsh
113,BenallaRC,Baddaginnie
114,StrathbogieS,Baddaginnie
115,YarraRangesS,BadgerCreek
116,GannawarraS,BaelBael
117,GreaterBendigoC,Bagshot
118,GreaterBendigoC,BagshotNorth
119,GlenelgS,Bahgallah
120,StrathbogieS,Bailieston
121,EastGippslandS,Bairnsdale
122,EastGippslandS,BairnsdaleEast
123,BallaratC,BakeryHill
124,PortPhillipC,Balaclava
125,BallaratC,BaldHills
126,HepburnS,BaldHills
127,ColacOtwayS,Balintore
128,MooraboolS,Ballan
129,MoyneS,Ballangeich
130,BulokeS,Ballapur
131,BallaratC,Ballarat
132,BallaratC,BallaratEast
133,CampaspeS,Ballendella
134,GreaterGeelongC,Balliang
135,MooraboolS,Balliang
136,MooraboolS,BalliangEast
137,AraratRC,Ballyrogan
138,PyreneesS,Ballyrogan
139,StrathbogieS,Balmattum
140,SouthernGrampiansS,Balmoral
141,MorningtonPeninsulaS,Balnarring
142,MorningtonPenS,BalnarringBeach
143,LatrobeC,Balook
144,WellingtonS,Balook
145,BoroondaraC,Balwyn
146,BoroondaraC,BalwynNorth
147,WhitehorseC,BalwynNorth
148,CampaspeS,Bamawm
149,CampaspeS,BamawmExtension
150,SurfCoastS,Bambra
151,GoldenPlainsS,Bamganie
152,WodongaRC,Bandiana
153,YarriambiackS,Bangerang
154,GreaterDandenongC,Bangholme
155,SwanHillRC,Bannerton
156,GoldenPlainsS,Bannockburn
157,BulokeS,Banyan
158,NorthernGrampiansS,Banyena
159,BulokeS,Banyenong
160,WodongaRC,Baranduda
161,GreaterGeelongC,Bareena
162,MountAlexanderS,Barfold
163,MountAlexanderS,Baringhup
164,MountAlexanderS,BaringhupWest
165,BenallaRC,Barjarg
166,MansfieldS,Barjarg
167,MountAlexanderS,BarkersCreek
168,NorthernGrampiansS,Barkly
169,PyreneesS,Barkly
170,MooraboolS,Barkstead
171,MoiraS,Barmah
172,GreaterBendigoC,Barnadown
173,IndigoS,Barnawartha
174,WodongaRC,BarnawarthaNorth
175,SouthGippslandS,Baromi
176,ColacOtwayS,Barongarook
177,ColacOtwayS,BarongarookWest
178,SurfCoastS,Barrabool
179,BulokeS,Barrakee
180,ColacOtwayS,Barramunga
181,LoddonS,Barraport
182,LoddonS,BarraportWest
183,MooraboolS,BarrysReef
184,GoldenPlainsS,BarunahPark
185,AlpineS,Barwidgee
186,MansfieldS,Barwite
187,ColacOtwayS,BarwonDowns
188,GreaterGeelongC,BarwonHeads
189,HepburnS,Basalt
190,BassCoastS,Bass
191,GoldenPlainsS,Batesford
192,GreaterGeelongC,Batesford
193,MoiraS,Bathumi
194,MorelandC,Batman
195,BawBawS,BawBaw
196,BawBawS,BawBawVillage
197,MorningtonPeninsulaS,Baxter
198,AraratRC,Bayindeen
199,CardiniaS,Bayles
200,MacedonRangesS,Baynton
201,MacedonRangesS,BayntonEast
202,KnoxC,Bayswater
203,MaroondahC,BayswaterNorth
204,CardiniaS,Beaconsfield
205,CaseyC,Beaconsfield
206,CardiniaS,BeaconsfieldUpper
207,CentralGoldfieldsS,Bealiba
208,LoddonS,Bealiba
209,MoiraS,Bearii
210,LoddonS,BearsLagoon
211,GannawarraS,Beauchamp
212,SwanHillRC,Beauchamp
213,PyreneesS,Beaufort
214,BaysideC,Beaumaris
215,NthnGrampiansS,BeazleysBridge
216,ColacOtwayS,Beeac
217,ColacOtwayS,BeechForest
218,IndigoS,Beechworth
219,YarraRangesS,Beenak
220,YarraRangesS,Belgrave
221,YarraRangesS,BelgraveHeights
222,YarraRangesS,BelgraveSouth
223,GreaterGeelongC,BellPark
224,GreaterGeelongC,BellPostHill
225,GreaterGeelongC,Bellarine
226,EastGippslandS,BellbirdCreek
227,SurfCoastS,Bellbrae
228,TowongS,Bellbridge
229,NorthernGrampiansS,Bellellen
230,BanyuleC,Bellfield
231,NorthernGrampiansS,Bellfield
232,SouthernGrampiansS,Bellfield
233,SurfCoastS,BellsBeach
234,GreaterGeelongC,Belmont
235,EastGippslandS,BemmRiver
236,SouthGippslandS,Bena
237,BenallaRC,Benalla
238,EastGippslandS,Benambra
239,WestWimmeraS,Benayeo
240,NillumbikS,BendofIslands
241,GreaterBendigoC,Bendigo
242,GreaterBendigoC,BendigoEast
243,GreaterBendigoC,BendigoNorth
244,GreaterBendigoC,BendigoWest
245,EastGippslandS,Bendoc
246,EastGippslandS,Bengworden
247,GannawarraS,Benjeroop
248,MacedonRangesS,Benloch
249,WhitehorseC,Bennettswood
250,SouthGippslandS,Bennison
251,GlenEiraC,Bentleigh
252,GlenEiraC,BentleighEast
253,SurfCoastS,Benwerrin
254,MooraboolS,Beremboke
255,LoddonS,Berrimal
256,GoldenPlainsS,Berringa
257,TowongS,Berringama
258,BulokeS,Berriwillock
259,CorangamiteS,Berrybank
260,GoldenPlainsS,Berrybank
261,SouthGippslandS,BerrysCreek
262,CaseyC,Berwick
263,GlenelgS,Bessiebelle
264,MoyneS,Bessiebelle
265,CentralGoldfieldsS,BetBet
266,EastGippslandS,BeteBolong
267,EastGippslandS,BeteBolongNorth
268,TowongS,Bethanga
269,CentralGoldfieldsS,Betley
270,YarriambiackS,Beulah
271,SwanHillRC,Beverford
272,MitchellS,Beveridge
273,WhittleseaC,Beveridge
274,HindmarshS,BigDesert
275,MilduraRC,BigDesert
276,WestWimmeraS,BigDesert
277,GreaterBendigoC,BigHill
278,SurfCoastS,BigHill
279,YarraRangesS,BigPatsCreek
280,TowongS,Biggara
281,WellingtonS,Billabong
282,BulokeS,Bimbourie
283,EastGippslandS,Bindi
284,SouthGippslandS,Binginwarri
285,WellingtonS,Binginwarri
286,EastGippslandS,BingoMunji
287,BulokeS,Birchip
288,BulokeS,BirchipWest
289,MilduraRC,Birdwoodton
290,ColacOtwayS,Birregurra
291,SurfCoastS,Birregurra
292,MorningtonPeninsulaS,Bittern
293,BallaratC,BlackHill
294,AraratRC,BlackRange
295,NorthernGrampiansS,BlackRange
296,BaysideC,BlackRock
297,WhitehorseC,Blackburn
298,WhitehorseC,BlackburnNorth
299,WhitehorseC,BlackburnSouth
300,HorshamRC,Blackheath
301,WellingtonS,Blackwarry
302,MooraboolS,Blackwood
303,BassCoastS,BlackwoodForest
304,HepburnS,BlackwoodNorth
